Book-Title,Book-Author,Year-Of-Publication,Publisher
Going On Being : Buddhism and the Way of Change,MARK EPSTEIN,2002,Broadway
"Florence: A Delicate Case (Writer and the City, 3,)",David Leavitt,2002,Bloomsbury Publishing PLC
Morse's Greatest Mystery and Other Stories (Inspector Morse Mysteries (Paperback)),Colin Dexter,1996,Fawcett Books
Why Me,Donald E. Westlake,1985,Tor Books
North Carolina Hiking Trails,Allen Dehart,1982,Appalachian Mountain Club
Shakespeare and Company,Sylvia Beach,1991,University of Nebraska Press
Virtual Light (Bantam Spectra Book),William Gibson,1993,Bantam Dell Pub Group
The Twelve Dancing Princesses,Jacob Grimm,1989,Harpercollins Juvenile Books
"American Chica : Two Worlds, One Childhood",Marie Arana,2002,Delta
The Bridge,Doug Marlette,2002,Perennial
The Chili Queen : A Novel,Sandra Dallas,2003,St. Martin's Griffin
Enemies,Hopkins Harris,1980,Ballantine Books
The Miracle at St. Bruno's,Phillipa Carr,1981,Warner Books (Mm)
Letters to Alice: On First Reading Jane Austen,Fay Weldon,1990,Pub Group West
The Bishop in the West Wing (Blackie Ryan),Andrew M. Greeley,2003,Forge Books
Elvis is Dead,Lewis Grizzard,1989,Warner Books
A Hole Is to Dig,Ruth Krauss,1989,HarperTrophy
In a Spring Garden,Richard Lewis,1989,Dial Books
Beyond Negative Thinking: Breaking the Cycle of Depressing and Anxious Thoughts,"Joseph T., M.D. Martorano",1989,Plenum Medical Book Company
Girls with Grandmother Faces : Celebration of Life,Frances Weaver,1996,Hyperion Press
When Baby Went to Bed,Susan Pearson,1987,Penguin USA
Inner Tennis: Playing the Game,W. Timothy Gallwey,1976,Random House Inc
A Night in the Swamp,Thacher Hurd,1987,Harpercollins Juvenile Books
ROMULAN WAY ST#35 (Star Trek (Numbered Paperback)),Diane Duane,1987,Star Trek
"We're Just Like You, Only Prettier : Confessions of a Tarnished Southern Belle",Celia Rivenbark,2004,St. Martin's Press
Cosbyology : Essays and Observations From the Doctor of Comedy,Bill Cosby,2002,Hyperion
The professor's house,Willa Cather,1973,Vintage Books
Voyage in the Dark (Norton paperback),Jean Rhys,1982,W.W. Norton &amp; Company Ltd
Antique Roses for the South,William C. Welch,1990,Taylor Trade Publishing
Honey from a Weed (The Cook's Classic Library),Patience Gray,1997,The Lyons Press
"The New Lifetime Reading Plan : The Classical Guide to World Literature, Revised and Expanded",Clifton Fadiman,1999,HarperResource
"The Complete Geranium: Cultivation, Cooking, and Crafts",Susan Conder,1992,Random House Inc
The Book of Roses (Book Of...),Sylvie Girard-Lagorce,2001,Flammarion-Pere Castor
American Garden Design: An Anthology of Ideas That Shaped Our Landscape,Diane Kostal McGuire,1994,Prentice Hall
"Chinese Herbal Medicine: A Step-By-Step Guide (\in a Nutshell\"" Series)""",Eve Rogans,1997,Houghton Mifflin
Potpourri (The Little Scented Library),Malcolm Hillier,1991,Simon &amp; Schuster
Archeology (Eyewitness Books),Jane McIntosh,1994,Alfred A. Knopf
Fossils of the World (Science Nature Guides),Chris Pellant,1995,Dragon's World
Tikta'liktak: An Inuit-Eskimo Legend,James A. Houston,1990,Harcourt Paperbacks
"The Blue Planet: Seas &amp; Oceans (Young Discovery Library, No 22)",Diane Costa De Beauregard,1989,Young Discovery Lib
Brothers K,David James Duncan,1992,Bantam Dell Pub Group
Roman Poetry: From the Republic to the Silver Age,Dorothea Wender,1991,Southern Illinois University Press
Zia,Scott O'Dell,1995,Yearling Books
Amazing but True Sports Stories,Phyllis Hollander,1990,Scholastic
Irish Myths and Legends,Lady Gregory,1999,Running Press Book Publishers
The Princes of the Air,John M. Ford,1991,Tor Books (Mm)
English Creek (Contemporary American Fiction),Ivan Doig,1990,Penguin Books
Mindblast (Space Cops),Diane Duane,1991,Harper Mass Market Paperbacks (Mm)
V,A. C. Crispin,1984,St Martins Pr (Mm)
The Teddy Bear Book,Susan Feuer,1996,Andrews McMeel Publishing
At Play in the Fields of the Lord,PETER MATTHIESSEN,1991,Vintage
How to Cook a Wolf,M. F. K. Fisher,1988,North Point Press
An INTERRUPTED LIFE,Etty Hillesum,1991,Pocket
3 By Flannery Oconnor,Flannery Oconnor,1983,Penguin Putnam~mass
Cowboy : A Novel,Sara Davidson,2001,HarperTorch
Lovers Are Special,LUCY MEAD,2000,Gramercy
Ustinov Still at Large,Peter Ustinov,1995,Prometheus Books
Mammal (Eyewitness Books),Steve Parker,1989,Alfred A. Knopf
Great Book of Egg Decorating,Grazia Buttafuoco,2000,Sterling Publishing
Dream Me Home Safely : Writers on Growing Up in America,Susan Richards Shreve,2003,Mariner Books
The Kids' Fun-Filled Question &amp; Answer Book,Jane Parker Resnick,1998,Kidsbooks.Com
Explorers: From Columbus to Armstrong (Famous Lives),F. Everett,1991,Usborne Books
"My Aces, My Faults",Nick Bollettieri,1996,HarperCollins Publishers
Skeleton (Eyewitness Books),Steve Parker,1988,Alfred A. Knopf
Triple,Ken Follett,1980,Signet Book
Cold Sassy Tree,Olive Ann Burns,1984,Houghton Mifflin
The Fundamentals of Play: A Novel,Caitlin Macy,2001,Anchor Books/Doubleday
With Malice,Rachel Lee,2003,Mira Books
The Oracle Glass,Judith Merkle Riler,1995,Hodder &amp; Stoughton General Division
Walden and Civil Disobedience (Barnes &amp; Noble Classics),Henry David Thoreau,2003,Barnes &amp; Noble Books-Imports
Plum Island,Nelson DeMille,1997,Warner Books
The Other Adonis: A Novel of Reincarnation,Frank Deford,2001,Sourcebooks Landmark
The Nursing Home Murder,Ngaio Marsh,1999,St. Martin's Press
Savages,Joe Kane,1996,Vintage Books USA
"Marriage, Divorce, Remarriage (Social Trends in the United States)",Andrew J. Cherlin,1981,Harvard University Press
Men Who Love Too Little,Tom Whiteman,1995,Thomas Nelson Inc
The second time around: Remarriage in America,Leslie Aldridge Westoff,1977,Viking Press
Stay,Aislinn Hunter,2002,Raincoast Books
The Pushcart War,JAN MERRILL,1987,Yearling
The Pioneers (Classic),James Fenimore Cooper,1988,Penguin Books
"Junie B. Jones is Almost Flower Girl (Junie B. Jones 13, paper)",Barbara Park,1999,Random House Children's Books
Billy Budd Sailor and Other Stories (Bantam Classic),Herman Melville,1982,Bantam
Maggie: A Girl of the Streets and Selected Stories,Stephen Crane,1991,Signet Classics
Privilege,Leona Blair,1993,Bantam Books
Secrets to Lasting Love : Uncovering the Keys to Life-Long Intimacy,Gary Smalley,2000,Simon &amp; Schuster
10 Lb. Penalty,Dick Francis,1998,Jove Books
I Marry You Because,Peter McWilliams,1997,Wilshire Publications
"I, Tituba, Black Witch of Salem",Maryse Conde,1994,Ballantine Books
The Sugar Addict's Total Recovery Program,Kathleen Desmaisons,2002,Ballantine Books
The LAST TYCOON,F. Scott Fitzgerald,1970,Scribner Paper Fiction
Don't Stop the Carnival : A Novel,Herman Wouk,1992,Back Bay Books
Falling Off the Map: Some Lonely Places of the World (Vintage Departures),Pico Iyer,1994,Vintage Books USA
Zeit fÃ?Â¼r Plan B.,Jonathan Tropper,2001,LÃ?Â¼bbe
The Changeling Sea,Patricia Mc Killip,1989,Del Rey Books
Walt Disney's Story Land,Walt Disney Studio,1985,Random House Childrens Books
Disney's Winnie the Pooh's A to ZZzz,Don Ferguson,1992,Disney Pr
Winnie the Pooh's Friendly Adventures,A. A. Winnie the Pooh Milne,1999,Disney Press
Welcome To Blues Clues (Blue's Clues),Angela C. Santomero,1999,Simon Spotlight/Nickelodeon
Sam's Little Sister,Yves Got,2002,Chronicle Books
Sam Loves Kisses,Yves Got,2002,Chronicle Books
The River,GARY PAULSEN,1993,Yearling
"Stretch, Swallow &amp; Stare",Veronika Martenova Charles,1999,Stoddart Kids
Spider Boy,Ralph Fletcher,1998,Yearling Books
"Eat, Drink, &amp; Be Merry : America's Doctor Tells You Why the Health Experts Are Wrong",Dean Edell,2000,Perennial Currents
Snake cradle (Snake dreaming),Roberta B Sykes,1997,Allen &amp; Unwin
Eve Her Story,Penelope Farmer,0,Abacus
Merchant of Venice (New Penguin Shakespeare),William Shakespeare,1981,Penguin Books
Economic and social geography made simple (Made simple books),R Knowles,1976,W. H. Allen
Rumpole's Return,John Mortimer,1982,Penguin USA
The Rise and Fall of Athens: Nine Greek Lives,Plutarch,1960,Penguin Books
Letters of an Indian Judge to an English Gentlewoman,Arvind Nehra,0,Futura Publishing Co Inc
Power Politics,Arundhati Roy,2002,South End Press
"You Are G8, We Are 6 Billion : The Truth Behind the Genoa Protests",Jonathan Neale,2003,Consortium
Dust Tracks On a Road,Zora Neale Hurston,0,Trafalgar Square
"You're a Good Man, Charlie Brown",Clark Gesner,1985,Ballantine Books (Mm)
Spartacus,Lewis G. Gibbon,1996,B &amp; W Publishing
From the Inside: Dispatches from a Women's Prison,Ruth Wyner,2003,Trafalgar Square
A Celebration,Rebecca West,1979,Penguin Books Ltd
Singin and Swingin and Gettin Merry Like Chr,Maya Angelou,0,Virago Press Limited
Scottish Hauntings (A Piccolo Original),Grant Campbell,1986,Pan Macmillan
Pigs (Annikins #14),Robert N. Munsch,1995,Annick Press
Dave Barry's Homes and Other Black Holes,Dave Barry,1995,Ballantine Books
Don Quixote (Unabridged Version of Walter Starkie Translation),Miguel De Cervantes Saavedra,2001,Signet Classics
Madame Bovary: Backgrounds and Sources Essays in Criticism (Norton Critical Edition),Gustave Flaubert,1965,W. W. Norton &amp; Company
"Once upon a Time: A True Story of Memory, Murder, and the Law",Harry N. MacLean,1994,Dell Publishing Company
American Gothic Tales,Joyce Carol Oates,1996,Plume Books
Die Gerettete Zunge Geschichte Einer Jug,Elias Canetti,0,Fischer Taschenbuch Verlag
Case Histories 1 (Freud Library),Sigmund Freud,1990,Penguin Uk
A Call for Justice : A New England Town's Fight To Keep A Stone Cold Killer In Jail,Denise Lang,2000,Avon
Seeking the Forbidden,Pheather Johnson,2000,Writer's Showcase Press
CLOSE ENCOUNTERS THE SECRET WORLD OF ALEX MACK 18 (ALEX MACK),"Bobbi J.G, Weiss",1997,Aladdin
Fairly Innocent Little Man,Laurence Meynell,1992,Worldwide Library
The Infant of Prague,Bill Granger,1988,Warner Books
Lucy: A Novel,Jamaica Kincaid,2002,"Farrar, Straus and Giroux"
Out of Control &amp; Loving It: How to Let Go When You're Afraid You'll Go Under (Inner Beauty Series),John Bevere,1997,Charisma House
The Turn of the Screw,Henry James,1993,Tor Books
I Know Why the Caged Bird Sings,Maya Angelou,1971,Bantam Books
The Bamboo Chest: An Adventure in Healing the Trauma of War,Frederick K. Graham,2004,"Dragon Press Publishing, Inc."
Discovery,Thomas Hoving,1989,Simon &amp; Schuster
Evidence of Blood,Thomas H. Cook,1991,Putnam Pub Group
Our Vanishing Wilderness,Mary Louise Grossman,1969,Smithmark Pub
A Rustle of Angels: Stories About Angels in Real-Life and Scripture,Marilynn Carlson Webber,1994,Zondervan
Lady Chatterley's Lover (Greenwich House Classics Library),D. H. Lawrence,1982,Greenwich House
Fiji Fiji,Daryl Tarte,0,Les Editions Du Pacifique
Not Without My Daughter,Betty Mahmoody,1987,St Martins Pr
English Country House Murders:  Classic Crime Fiction of Britain's Upper Crust,Thomas Godfrey,1988,Warner Books Inc
A Gravestone Made of Wheat (Greywolf Short Fiction Series),Will Weaver,1990,Graywolf Press
Brown-Eyed Girl,Mariah Stewart,2000,Pocket
The Wild Swans (Faerie Tale Romance),Kate Holmes,2000,Dorchester Publishing Company
My Beloved,Karen Ranney,1999,Avon
"Dingoes At Dinnertime (Magic Tree House 20, paper)",MARY POPE OSBORNE,2000,Random House Books for Young Readers
Risen,J. Knight,2004,Pinnacle Books
Rest in Peace,Jack MacLane,1990,Kensington Pub Corp (Mm)
WHEN A CHILD KILLS,Paul Mones,1992,Pocket
Riches and Honor,Tom Hyman,1986,Bantam Books
"The Enron Collapse: Creative Accounting, Wrong Economics or Criminal Acts? a Look into the Root Causes of the Largest Bankruptcy in U.S. History",Dirk J. Barreveld,2002,Writers Club Press
Under the Overtree (Leisure Horror),James A. Moore,2002,Leisure Books
Darkfall,Stephen Laws,2003,Leisure Books
The Restless Dead,Hugh B. Cave,2003,Leisure Books
Known Dead: A Novel,Donald Harstad,2000,Bantam Books
Nightlife,Jack Ellis,2000,Pinnacle Books
The Hades Project,Justin Gustainis,2003,Brighid's Fire Books
Glen Canyon: A Novel,Steven M. Hannon,1997,Kokopelli Books
Beyond the Last Village: A Journey of Discovery in Asia's Forbidden Wilderness,Alan Rabinowitz,2001,Shearwater Books
Angel Fire: A Novel,Ron Franscell,1998,Laughing Owl Publishing
"California Girl : A Novel (Parker, T Jefferson)",T. Jefferson Parker,2004,William Morrow
Discontinued,Julian F. Thompson,1986,Scholastic Paperbacks (Mm)
The Red Badge of Courage (Everyman's Library),Stephen Crane,1992,Tuttle Pub
Tarragon Island,Nikki Tate,1999,Sono NIS Press
Rebel of Dark Creek (Stablemates),Nikki Tate,2000,Sono NIS Press
Merryll of the stones (UQP young adult fiction),Brian Caswell,1989,International Specialized Book Services
Flying High (Angels Unlimited S.),Annie Dalton,2001,Collins
Swift As Desire: A Novel,Laura Esquivel,2002,Anchor Books/Doubleday
Water Tales/Aquamarine &amp; Indigo,Alice Hoffman,2003,Scholastic Paperbacks
The Star Wars Trilogy (Collected Novelizations),George Lucas,2002,Del Rey Books
Mr Golightly's Holiday,Salley Vickers,2004,"Farrar, Straus and Giroux"
Ruthie the Robot,Joyce Milton,1983,Scholastic
The Most Important Thing,Jean Ure,1986,Harpercollins Juvenile Books
The Parsley Parcel,Elizabeth Arnold,1996,Egmont Childrens Books
The October Child,Eleanor Spence,1976,Oxford Univ Pr (J)
Life Isn't All Ha Ha Hee Hee,Meera Syal,2001,Picador USA
The Waiting Game,Bernice Rubens,1997,Little Brown and Company
The Wings of a Falcon,Cynthia Voigt,1993,Scholastic
The Marriage Command,Susan Fox,2004,Thorndike Pr
The Italian Millionaire's Marriage  (The Counts Of Calvani),Lucy Gordon,2003,Harlequin
The Whirlwind Wedding (Thorndike Large Print Harlequin Series),Day Leclaire,2003,Thorndike Press
When She Hollers,Cynthia Voigt,1996,Demco Media
A Parisian Proposition,Barbara Hannay,2004,Ulverscroft Large Print
A Gift From The Past  (Soulmates),Carla Cassidy,2003,Silhouette
Cinderella and the CEO,Susan Meier,2002,Harlequin Mills &amp; Boon Ltd
Guess What? We're Married!,Susan Meier,2001,Harlequin Mills &amp; Boon Ltd
"His Tomboy Bride (June Brides) (Silhouette Romance , No 1305)",Jim Wilson,1998,Silhouette
The Gentle Touch (Medical Romance),Margaret O'Neill,2001,Harlequin Mills &amp; Boon Ltd
"More Then Meets The Eye  (A Tale Of The Sea) (Silhouette Romance, 1602)",Carla Cassidy,2002,Silhouette
Emergency Wedding,Marion Lennox,2002,Thorndike Press
Coming Home to Daniel (Medical Romance: Denison Memorial Hospital),Josie Metcalfe,2001,Harlequin Mills &amp; Boon Ltd
"Shocking Request (Silhouette Romance, No. 1573)",Colleen Faulkner,2002,Silhouette
Innocent Secret (Harlequin Medical),Josie Metcalfe,2002,Mills &amp; Boon
Emergency Reunion (Medical Romance),Abigail Gordon,2002,Harlequin Mills &amp; Boon Ltd
Emotional Rescue (Medical Romance),Alison Roberts,2001,Harlequin Mills &amp; Boon Ltd
The Billionaire Bid (Harlequin Romance),Leigh Michaels,2003,Harlequin
Christmas in Paris (Medical Romance),Margaret Barker,2002,Harlequin Mills &amp; Boon Ltd
A Doctor's Courage (Harlequin Medical Romance),Gill Sanderson,2003,Mills &amp; Boon
The Irresistible Doctor (Medical Romance),Carol Wood,2002,Harlequin Mills &amp; Boon Ltd
Tyro,David McRobbie,1999,Penguin Books
Most Secret,Nevil Shute,1981,Queens House
"Once And For Always (Harlequin Superromance, No 340)",Stella Cameron,1988,Harlequin
Baby Chase,Hannah Bernard,2003,Harlequin Mills &amp; Boon Ltd
Garrett's Back in Town,Leigh Michaels,2002,Harlequin Mills &amp; Boon Ltd
A Suitable Husband (Thorndike Harlequin I Romance),Jessica Steele,2001,G. K. Hall &amp; Company
Introductory Entomology for Australian Students,Tim R. New,1997,New South Wales Univ Pr Ltd
The Water Underneath,Kate Lyons,2001,Allen &amp; Unwin (Australia) Pty Ltd
"Trust No One (The Official Guide to the X-Files, Vol. 2)",Brian Lowry,1996,HarperEntertainment
Jackaroo,Cynthia Voigt,1985,Atheneum
Zia,Scott O'Dell,1987,Laurel-Leaf Books
Tug of War (Puffin Teenage Fiction S.),Joan Lingard,2004,Puffin Books
Seaward,Susan Cooper,1987,Demco Media
Our Man Weston,Gordon Korman,1986,Scholastic Book Service
Billy,Pamela Stephenson,2003,Perennial Currents
Dragon Stone,Ruth Manley,1976,Hodder Headline Australia
Tell Me If the Lovers Are Losers,Cynthia Voigt,1990,Fawcett Books
Pick-Up Sticks,Sarah Ellis,2001,Groundwood Books
Rabble Starkey,Lois Lowry,1987,Walter Lorraine Books
You Take the High Road,Mary K. Pershall,1990,Penguin USA
The Way We Die Now,Charles Willeford,1996,Dell
"Lady, baby, gypsy, queen",Margaret Barbalet,1992,Penguin Books
Tennyson's gift,Lynne Truss,1996,Hamish Hamilton
Off Season,Philip R. Craig,1996,Avon
The Timekeeper,Emily Rodda,1993,Harpercollins Childrens Books
A Patch of Blue,Elizabeth Kata,1988,Warner Books
Tales from Earthsea,Ursula K. Le Guin,2002,Ace Books
Charlotte's Web,E. B. White,1992,Listening Library
Simple Pleasures for the Holidays: A Treasury of Stories and Suggestions for Creating Meaningful Celebrations (Simple Pleasures Series),Susannah Seton,2000,Conari Press
"Pride and Prejudice, Third Edition (Norton Critical Editions)",Jane Austen,2000,W.W. Norton &amp; Company
Mr. Darwin's Shooter,Roger McDonald,1999,Pub Group West
The Class,Erich Segal,1986,Bantam Books
The Prince and the Pauper,Mark Twain,1992,Tor Books
Mixed Magics : Four Tales of Chrestomanci,Diana Wynne Jones,2003,HarperTrophy
"The Golden Days (The Story of the Stone, or The Dream of the Red Chamber, Volume 1)",Cao Xueqin,1974,Penguin Books
Mendeleyev's Dream : The Quest For the Elements,Paul Strathern,2001,Thomas Dunne Books
The Two-Thousand-Pound Goldfish (Harper Trophy Books (Paperback)),Betsy Byars,2000,HarperTrophy
Magician,Raymond E. Feist,1982,Doubleday Books
The Great House,Cynthia Harnett,1984,Lerner Pubns Co (L)
Skymaze,Gillian Rubinstein,1991,Scholastic
Half-way Across the Galaxy and Turn Left (Puffin Story Books),Robin Klein,1987,Puffin Books
Mates at Billabong,Mary Grant Bruce,2003,Indypublish.Com
Two Weeks with the Queen (Puffin Audiobooks),Morris Gleitzman,1999,Penguin Children's Audiobooks
The Children of Cherry Tree Farm,Enid Blyton,1996,Random House Children's Books (A Division of Random House Group)
The Journey,John Marsden,1998,Pan
The Bumblebee Flies Anyway (Laurel-Leaf Books),ROBERT CORMIER,1991,Laure Leaf
Untangling My Chopsticks: A Culinary Sojourn in Kyoto,Victoria Abbott Riccardi,2003,Broadway Books
"The Drastic Dragon of Draco, Texas",Elizabeth Ann Scarborough,1986,Bantam Books
The View from Ararat (UQP Young Adult Fiction),Brian Caswell,1999,University of Queensland Pr (Australia)
"Once there was a golden moon,",Francis Hart,1968,Hale
The Great Ghost Rescue,Eva Ibbotson,2002,Dutton Books
Hating Alison Ashley (Puffin Books),Robin Klein,1985,Penguin USA
Farewell to My Concubine,Lilian Lee,0,Penguin Putnam~trade
"How I Learned to Fly (Goosebumps, No 52)",R. L. Stine,1997,Apple
Monkey/Folk Novel of China,Ch'Eng-En Wu,1994,Grove Press
The Gathering,Isobelle Carmody,1996,Puffin Books
The Swish of the Curtain (Hodder Modern Classics),Pamela Brown,1998,Hodder Children's Books
The Earth Witch,Louise Lawrence,1986,Ace Books
Speed of Light.,Sybil Rosen,2001,Urachhaus
New Windmills: Granny Was a Buffer Girl (New Windmills),Berlie Doherty,1988,Heinemann Educational Books - Secondary Division
Dog Soldiers,Robert Stone,1997,Mariner Books
Selling the Dream,Guy Kawasaki,1992,HarperBusiness
Monstrum,Donald James,2000,Planeta
Song of Sorcery,Elizabeth Scarborough,1984,Bantam Books
What Katy Did Next (Puffin Classics),Susan Coolidge,1994,Puffin Books
The Ghost Girl (A Magnet Book),Catherine Sefton,1986,Methuen Publishing Ltd
"Dreams of Stone (Unbalanced Earth Trilogy Book, No 1)",Jonathan Wylie,1989,Bantam Books
Libby on Wednesday,Zilpha Keatley Snyder,1991,Yearling Books
The Long Night Watch,Ivan Southall,1983,Methuen Publishing Ltd
Riding Camp (Saddle Club (Paperback)),Bonnie Bryant,1990,Skylark Books
The English Lady,William Harrington,1985,Bantam Books (Mm)
Wildcat Falling,Mudrooroo,1995,Harpercollins
Skindeep (Pan Horizons),Toeckey Jones,1989,Pan Macmillan
Toad Triumphant,William Horwood,1995,HarperCollins
Imaginary Lands,Robin McKinley,1987,Random House Children's Books (A Division of Random House Group)
King's Dragon (Crown of Stars (Paperback)),Kate Elliott,1998,Daw Books
Book of Shadows (Point Fantasy S.),Stan Nicholls,1996,Scholastic Point
Just As Long As We're Together,Judy Blume,1995,Laurel-Leaf Books
The Hobbit,J. R. R. Tolkien,2001,Recorded Books
All My Mothers and Fathers: A Memoir,Michael Blumenthal,2003,Perennial
On Fortune's Wheel,Cynthia Voigt,2001,Sagebrush Bound
Cider with Rosie (Modern Literatures in Perspective),Laurie Lee,1976,Longman Publishing Group
The Mill on the Floss,George Eliot,1979,Penguin Books Ltd
More Crimes for a Summer Christmas (Crimes for a Summer Christmas Series),Stephen Knight,1993,Paul &amp; Co Pub Consortium
The White Guinea Pig,Ursula Dubosarsky,1997,Puffin Books
Spider Mansion,Caroline MacDonald,1995,Viking Children's Books
Escape from Warsaw (Original title: The Silver Sword),Ian Serralier,1990,Scholastic
The Secret Garden (Penguin Classics),Frances Hodgson Burnett,2002,Penguin Books
A Fortunate Life,Albert B. Facey,1982,Penguin Books Ltd
29 and Counting : A Chick's Guide to Turning 30,Julie  Tilsner,1998,McGraw-Hill/Contemporary Books
The Magic Pudding,Norman Lindsay,1998,Consortium Book Sales &amp; Dist
Archer's Goon,Diana Wynne Jones,2003,Greenwillow
The Unwanted: A Memoir of Childhood,Kien Nguyen,2002,Back Bay Books
The Virgin Suicides,Jeffrey Eugenides,2000,Sagebrush Bound
"Lynne Reid Banks: Return of the Indian, Secret of the Indian, Mystery of the Cupboard, Indian in the Cupboard",Lynne Reid Banks,1994,Avon Books
Finders keepers,Emily Rodda,1990,Omnibus Books
Dear Anne Frank,Various,1999,Penguin Uk
Can You Sue Your Parents for Malpractice?,Paula Danziger,1998,PaperStar Book
Out of Africa and Shadows on the Grass (G K Hall Large Print Book Series),Isak Dinesen,1986,Thorndike Pr
Honey-dew,Louise Doughty,1998,Simon &amp; Schuster (Trade Division)
The Chant of Jimmie Blacksmith,Thomas Keneally,1983,Penguin USA
Magician,Allan Baillie,1995,Puffin Books
Undercover Genie : The Irreverent Conjurings of an Illustrative Aladdin,Kyle Baker,2003,DC Comics
Which Witch?,Eva Ibbotson,1999,Dutton Books
The Haunting of Hiram C. Hopgood,Eva Ibbotson,1987,Pan Macmillan
The Great Gilly Hopkins,Katherine Paterson,2004,HarperTrophy
The Edge of the Cloud (Puffin Books),K.M. Peyton,1989,Puffin Books
Flambards in Summer,Kathleen M. Peyton,1999,Oxford University Press
Annie's Coming Out,Rosemary Crossley,1985,Penguin USA
"The Runes of War (The Runespell Trilogy, Book 1)",Jane Welch,1995,Trafalgar Square Publishing
All Things Bright and Beautiful,James Herriot,1974,St. Martin's Press
Bumps,Zoe Barnes,1997,Judy Piatkus Publishers Ltd
Sea King Trilogy 2: Mindbond,Nancy Springer,1989,Time Warner Books UK
Robbery Under Arms,Rolf Boldrewood,2002,IndyPublish.com
Puck of Pook's Hill (Puffin Classics),Rudyard Kipling,1987,Puffin Books
Maria's Diary (Plus S.),Maureen Stewart,1989,Puffin Books
The Ultimate Dragon,Byron Preiss,2003,I Books
Twice upon a Time,Denise Little,1999,Daw Books
A Common Prayer,Leunig,1991,Harpercollins
SILVER SUN,Joseph A.  Springer,1985,Pocket
Millennium,Douglas Winter,2003,Dutton Books
Thigmoo,Eugene Byrne,1999,Simon &amp; Schuster (Trade Division)
A Pony to Jump (Kestrels),Patricia Leitch,1992,HarperCollins Publishers
Horse Shy (Saddle Club (Paperback)),Bonnie B. Bryant,1996,Skylark Books
Team Play (The Saddle Club),Bonnie Bryant Hiller,1991,Random House Children's Books (A Division of Random House Group)
Dream Horse (Saddle Club Super Edition No 4),Bonnie Bryant,1996,Skylark Books
"Mystery at the Meet (The Gymnasts, No 11)",Elizabeth Levy,1990,Scholastic Paperbacks
"World Class Gymnast (The Gymnasts, No 14)",Elizabeth Levy,1990,Scholastic
"First Date (Gymnasts, No 13)",Elizabeth Levy,1990,Scholastic Paperbacks (Mm)
"Boys in the Gym (The Gymnasts, No. 10)",Elizabeth Levy,1990,Scholastic Paperbacks (Mm)
"Star Rider (Saddle Club, Book 19)",Bonnie Bryant,1991,Skylark Books
Paddington Takes to TV,Michael Bond,2002,Houghton Mifflin
Looking For Mr. Right,Bradley Trevor Greive,2001,Andrews McMeel Publishing
Gemini Contenders,Robert Ludlum,1989,Bantam Books
Kidnapped (Penguin Classics),Robert Louis Stevenson,1995,Penguin Books
Jane Eyre,Charlotte Bronte,1976,J m Dent &amp; Sons Ltd
The Death of Chaos (Saga of Recluce),L. E. Modesitt Jr.,1996,Tor Fantasy
The First Book of Samuel,Ursula Dubosarsky,1998,Puffin Books
Book of Small,Emily Carr,1986,Fitzhenry &amp; Whiteside Ltd
The Silver Cloud Cafe,Alfredo Vea,1997,Plume Books
Skating on Sand,Libby Gleeson,1996,Puffin Books
Star Trek Generations (Star Trek: All),Esther Friesner,1994,Aladdin
Shoeless Joe,W. P. Kinsella,1999,Mariner Books
Fortune's Rocks: A Novel,Anita Shreve,1999,Random House Trade
Language Arts Resources from Recycables (Monday Morning Books),Virginia Woolf,1994,Monday Morning Books
Touchpoints for Women: God's Answers for Your Daily Needs (Touchpoints),Not Applicable (Na ),1998,Tyndale House Publishers
Guidance and the Voice of God,Tony J. Payne,1997,Matthias Media
A year of writing activities,I. David Welch,1979,Scholastic Book Services
Seventy-Seven Games for Reading Groups,S. Metzner,1973,McGraw-Hill Children's Pub
You Can Draw a Kangaroo,Dept Of Australiaa,1989,Australian Government Publishing Service
Aborigines of the Sydney District Before 1788,Peter Turbet,1990,Kangaroo Pr
"How to Make It Big in Australia: The Down-To-Earth Guide for High Fliers, Late Developers and the Moderately Greedy",Robert Treborlang,1990,Australia in Print
How to Be Normal in Australia: A Practical Guide to the Uncharted Territory of Antipodean Relationships,Robert Treborlang,1989,Australia in Print
Australia (This Beautiful World),Aochi,1990,Kodansha America
Coping With America,Peter Trudgill,1987,Blackwell Pub
The Oxford Book of Fantasy Stories,Tom A. Shippey,1995,Oxford Univ Pr
Finders Keepers,Emily Rodda,1993,Harpercollins Juvenile Books
Mountain Rain: The Biography of James O. Fraser (Transforming Lives),Eileen Crossman,2002,Paternoster Publishing
Across the barricades,Joan Lingard,1973,T. Nelson
A Stranger at Green Knowe,L. M. Boston,2002,Odyssey Classics
Raise the Titanic!,Clive Cussler,1977,Bantam Books
The many-colored land,Julian May,1981,Houghton Mifflin
Megamouth! (Weird New Science),James Stazzer,1999,Element Books Ltd
Tigana,Guy Gavriel Kay,1999,Roc
Children of the dust,Louise Lawrence,1985,Harper &amp; Row
After the Bomb,Gloria D. Miklowitz,1985,Scholastic
Temple,Matthew Reilly,2000,Thomas Dunne Books
Contest,Matthew Reilly,2003,Thomas Dunne Books
Dawn Wind,Rosemary Sutcliff,1973,Random House Inc
A Twist in the Tale,Jeffrey Archer,1994,HarperTorch
"Extreme Heat (Lawman) (Harlequin Intrigue, No 389)",Joanna Wayne,1996,Harlequin
French Lieutenant's Woman (French Lieutenant's Woman),John Fowles,1999,Sagebrush Bound
